Total Volume,4046,Small Bags,Total Bags,Large Bags,4225,4770,AveragePrice
64236.62,1036.74,8603.62,8696.87,93.25,54454.85,48.16,1.33
405898.44,306587.86,42126.47,53888.32,11720.3,41906.78,3515.48,1.15
657745.9,55284.8,188374.49,192522.26,4147.77,367670.93,42267.91,1.26
485706.68,5145.86,97513.23,101909.89,4396.66,378295.9,355.03,1.14
137050.23,932.52,73414.91,74392.69,977.78,61668.49,56.53,1.35
139917.89,29500.04,33273.25,35054.76,1781.51,55520.58,19842.51,0.98
791332.34,26653.29,83728.75,88152.13,3516.34,577460.34,99066.58,1.12
226951.64,3610.46,14963.96,47259.72,28229.86,157400.74,18680.72,0.89
1104602.14,491729.14,107305.26,122784.54,15396.93,439095.32,50993.14,0.82
735145.02,148762.57,49343.56,115631.98,66285.96,454026.16,16724.31,1.08
117645.69,3809.88,38257.02,40989.06,2231.37,69582.68,3264.07,1.24
3436864.41,449090.82,535843.25,690083.05,110898.39,1843047.36,454643.18,1.12
191040.19,32241.22,73386.08,74589.1,1203.02,83702.91,506.96,1.2
968988.09,383218.43,61098.51,110005.86,48907.35,458982.9,16780.9,0.86
178889.83,18025.82,21559.51,40171.15,17453.1,113204.3,7488.56,1.13
244024.83,94777.64,30201.26,30694.05,492.79,107758.8,10794.34,0.89
2652480.7,1707544.28,298568.77,312825.5,11398.26,548712.47,83398.45,1.03
80537.77,3843.22,11567.45,24814.08,12926.67,50486.3,1394.17,1.13
2447264.74,555127.12,479718.29,560915.88,76793.78,1122683.82,208537.92,1.13
166556.79,117295.03,21480.56,24976.5,3495.94,8599.82,15685.44,1.08
999169.64,13652.41,139508.76,170082.08,30573.32,814571.57,863.58,1.16
4855273.71,122190.4,1208641.02,1312115.77,102680.02,3328289.46,92678.08,1.24
363935.24,4606.01,50014.8,50852.58,837.78,308443.03,33.62,1.03
454795.64,15898.8,78976.79,91927.28,12950.49,346217.39,752.17,1.19
1366844.88,1097285.22,44646.67,97564.37,52917.7,164460.99,7534.3,0.51
1281613.28,584490.6,260079.65,278062.6,16838.2,403638.25,15421.83,1.1
508174.09,196765.08,66557.46,66678.86,98.42,223128.51,21601.64,1.16
344288.82,79507.9,41191.91,61014.39,19822.48,115316.24,88450.29,0.99
131197.71,42757.3,33001.48,33050.28,42.7,55250.67,139.46,1.09
382583.75,119295.38,41625.86,41668.76,42.9,208546.45,13073.16,1.24
775848.72,165884.02,63811.01,64629.08,780,517366.37,27969.25,0.99
577605,178641.03,110537.43,110588.9,31.33,272213.83,16161.24,1.19
311348.31,187805.04,45690.04,64163.71,18473.67,46947.97,12431.59,1.06
2544630.5,1422797.76,489650.49,625962.12,136184.25,464251.81,31618.81,1.19
73681.06,30529.69,10090.7,10175.14,84.44,29902.8,3073.43,1.15
55560.09,645.86,16690.52,17112.74,422.22,37788.65,12.84,1.23
294964.3,152836.19,82324.41,100710.16,18385.75,39330.6,2087.35,1.17
29043458.85,11858139.34,3873041.26,4652069.81,771093.2,11701947.8,831301.9,1.03
740213.87,535570.33,87927.36,91202.45,3275.09,100108.86,13332.23,0.8
92529.27,808.5,13037.43,13537.86,500.43,78146.18,36.73,1.49
522546.62,58412.45,130682.92,131613.96,565.76,304616.52,27903.69,1.86
95948.06,31280,59206.93,59233.89,8.8,5422.61,11.56,0.63
536674.53,4120.09,127177.65,127359.91,182.26,391873.45,13321.08,1.15
6538335.89,2200099.61,1476927.5,1580994.73,73032.78,2538994.07,218247.48,1.07
205367.45,33581.86,45426.62,51414.29,5987.67,101739.82,18631.48,1.15
273804,2790.12,18785.57,175195,156407.87,94637.5,1181.38,0.96
201747.62,95063.05,53230.25,61912.03,6885.94,36787.21,7985.33,0.93
1191927.54,551921.61,144358.85,148481.17,3764.81,411340.37,80184.39,0.78
352764.25,127164.35,124979.56,144425.73,18669.46,60621.61,20552.56,1.13
149119.51,2180.17,43482.47,53137.07,9621.76,91194.54,2607.73,1.15
205728.4,43579.25,65296.73,66008.31,711.58,95964.8,176.04,1.49
296893.56,3701.05,66397.8,68408.08,940.28,224262.53,521.9,1.26
135848.61,9560.82,39632.2,65224.03,25547.03,59100.87,1962.89,1.13
152777.16,67403.11,25243.34,53079.47,23054.74,31854.3,440.28,1.23
311402.83,139919.03,51367.6,78473.92,27106.32,86200.19,6809.69,0.91
78262.36,1705.62,11916.09,39414.77,27498.68,36812.98,328.99,1.15
889357.25,408466.47,64835.66,252980.9,185705.24,227686.36,223.52,0.88
158024.16,66411.85,57450.73,75236.16,16375.43,16272.07,104.08,0.92
261491.83,127608.67,68532.55,91876.03,10508.48,41610.13,397,1.16
1594427.98,18295.61,249147.27,291647.6,42500.33,1282457.13,2027.64,1.15
291185.37,18423.35,47207.35,47210.91,3.56,222357.93,3193.18,1.52
432737.31,213997.13,60411.28,137892.73,77481.45,80588.36,259.09,0.95
1056806.44,508911.67,154962.56,307363.95,152350,226307.94,14222.88,0.67
113655.96,1416.4,39074.78,56179.81,10590.03,54927.04,1132.71,1.25
1672884.28,784111.14,325916.64,364852.4,37205.76,499720.63,24200.11,1.03
255043.21,88405.04,77829.34,80443.83,2614.49,70494.6,15699.74,1.35
283660.1,67526.83,77132.4,77191.57,2.67,132271.16,6670.54,0.95
315955.99,110569.37,45560.08,47267.51,382.43,156812.81,1306.3,1.29
604082.24,186258.97,171944.56,192335.73,19129.5,204704.57,20782.97,0.98
696959.32,200199.01,98394.37,99110.59,688.22,357790.26,39859.46,1.34
331549.04,153616.97,75354.15,109273.59,33919.44,62717.83,5940.65,1.12
6893900.54,3348754.08,1161263.73,1515562.48,346494.76,1465437.6,564146.38,0.7
49762.2,8071.55,23852.61,23871.15,13.46,17786.23,33.27,1.49
348135.49,65689.33,225966.72,260500.63,21420.64,21478.32,467.21,0.76
90935.19,1462.82,28032.92,28741.81,708.89,60707.3,23.26,1.28
34126730.95,12962762.94,8199580.75,10271369.65,2016484.84,10380438.09,512160.27,1.08
7592473.98,2283526.35,1944100.53,3065692.14,1112775.44,2074920.94,168334.55,0.77
62977,2413,5059,11426,6368,49076,62,1.5
507337.7,233475.62,138657.24,215484.32,69372.08,57935.64,442.12,1.19
721257.38,96158.54,169659.38,180991.86,10733.87,434568.32,9538.66,1.38
451608.73,16621.16,76160.93,110789.31,34628.38,322931.92,1266.34,1.61
139635.02,1486.31,63239.7,65928.68,2270.93,72163.62,56.41,1.71
7175276.66,2266313.37,1762033.74,1940375.45,151333.95,2877688.31,90899.53,0.89
674811.14,91477.74,79635.38,93275.15,9073.11,349704,140354.25,1.88
290569.6,7282.55,33461.38,209328.62,175820.25,72866.01,1092.42,1.01
958421,561075,137522,226238,88658,167540,3568,0.94
813544.33,124815.87,167076.97,480713.07,313376.38,182812.48,25202.91,1.19
475602.7,148920.01,212979.31,228724.02,14028.85,87966.44,9992.23,0.74
2289168.77,444534.18,599057.03,895149.49,269972.31,780137.97,169347.13,1.89
