Total Volume,4046,Total Bags,Small Bags,Large Bags
64236.62,1036.74,8696.87,8603.62,93.25
405898.44,306587.86,53888.32,42126.47,11720.3
657745.9,55284.8,192522.26,188374.49,4147.77
485706.68,5145.86,101909.89,97513.23,4396.66
137050.23,932.52,74392.69,73414.91,977.78
139917.89,29500.04,35054.76,33273.25,1781.51
791332.34,26653.29,88152.13,83728.75,3516.34
226951.64,3610.46,47259.72,14963.96,28229.86
1104602.14,491729.14,122784.54,107305.26,15396.93
735145.02,148762.57,115631.98,49343.56,66285.96
117645.69,3809.88,40989.06,38257.02,2231.37
3436864.41,449090.82,690083.05,535843.25,110898.39
191040.19,32241.22,74589.1,73386.08,1203.02
968988.09,383218.43,110005.86,61098.51,48907.35
178889.83,18025.82,40171.15,21559.51,17453.1
244024.83,94777.64,30694.05,30201.26,492.79
2652480.7,1707544.28,312825.5,298568.77,11398.26
80537.77,3843.22,24814.08,11567.45,12926.67
2447264.74,555127.12,560915.88,479718.29,76793.78
166556.79,117295.03,24976.5,21480.56,3495.94
999169.64,13652.41,170082.08,139508.76,30573.32
4855273.71,122190.4,1312115.77,1208641.02,102680.02
363935.24,4606.01,50852.58,50014.8,837.78
454795.64,15898.8,91927.28,78976.79,12950.49
1366844.88,1097285.22,97564.37,44646.67,52917.7
1281613.28,584490.6,278062.6,260079.65,16838.2
508174.09,196765.08,66678.86,66557.46,98.42
344288.82,79507.9,61014.39,41191.91,19822.48
131197.71,42757.3,33050.28,33001.48,42.7
382583.75,119295.38,41668.76,41625.86,42.9
775848.72,165884.02,64629.08,63811.01,780
577605,178641.03,110588.9,110537.43,31.33
311348.31,187805.04,64163.71,45690.04,18473.67
2544630.5,1422797.76,625962.12,489650.49,136184.25
73681.06,30529.69,10175.14,10090.7,84.44
55560.09,645.86,17112.74,16690.52,422.22
294964.3,152836.19,100710.16,82324.41,18385.75
29043458.85,11858139.34,4652069.81,3873041.26,771093.2
740213.87,535570.33,91202.45,87927.36,3275.09
92529.27,808.5,13537.86,13037.43,500.43
522546.62,58412.45,131613.96,130682.92,565.76
95948.06,31280,59233.89,59206.93,8.8
536674.53,4120.09,127359.91,127177.65,182.26
6538335.89,2200099.61,1580994.73,1476927.5,73032.78
205367.45,33581.86,51414.29,45426.62,5987.67
273804,2790.12,175195,18785.57,156407.87
201747.62,95063.05,61912.03,53230.25,6885.94
1191927.54,551921.61,148481.17,144358.85,3764.81
352764.25,127164.35,144425.73,124979.56,18669.46
149119.51,2180.17,53137.07,43482.47,9621.76
205728.4,43579.25,66008.31,65296.73,711.58
296893.56,3701.05,68408.08,66397.8,940.28
135848.61,9560.82,65224.03,39632.2,25547.03
152777.16,67403.11,53079.47,25243.34,23054.74
311402.83,139919.03,78473.92,51367.6,27106.32
78262.36,1705.62,39414.77,11916.09,27498.68
889357.25,408466.47,252980.9,64835.66,185705.24
158024.16,66411.85,75236.16,57450.73,16375.43
261491.83,127608.67,91876.03,68532.55,10508.48
1594427.98,18295.61,291647.6,249147.27,42500.33
291185.37,18423.35,47210.91,47207.35,3.56
432737.31,213997.13,137892.73,60411.28,77481.45
1056806.44,508911.67,307363.95,154962.56,152350
113655.96,1416.4,56179.81,39074.78,10590.03
1672884.28,784111.14,364852.4,325916.64,37205.76
255043.21,88405.04,80443.83,77829.34,2614.49
283660.1,67526.83,77191.57,77132.4,2.67
315955.99,110569.37,47267.51,45560.08,382.43
604082.24,186258.97,192335.73,171944.56,19129.5
696959.32,200199.01,99110.59,98394.37,688.22
331549.04,153616.97,109273.59,75354.15,33919.44
6893900.54,3348754.08,1515562.48,1161263.73,346494.76
49762.2,8071.55,23871.15,23852.61,13.46
348135.49,65689.33,260500.63,225966.72,21420.64
90935.19,1462.82,28741.81,28032.92,708.89
34126730.95,12962762.94,10271369.65,8199580.75,2016484.84
7592473.98,2283526.35,3065692.14,1944100.53,1112775.44
62977,2413,11426,5059,6368
507337.7,233475.62,215484.32,138657.24,69372.08
721257.38,96158.54,180991.86,169659.38,10733.87
451608.73,16621.16,110789.31,76160.93,34628.38
139635.02,1486.31,65928.68,63239.7,2270.93
7175276.66,2266313.37,1940375.45,1762033.74,151333.95
674811.14,91477.74,93275.15,79635.38,9073.11
290569.6,7282.55,209328.62,33461.38,175820.25
958421,561075,226238,137522,88658
813544.33,124815.87,480713.07,167076.97,313376.38
475602.7,148920.01,228724.02,212979.31,14028.85
2289168.77,444534.18,895149.49,599057.03,269972.31
239036.52,52237.47,91634.18,90107.34,1469.9
1391181.63,564063.25,613923.51,527743.84,86179.67
154354.18,7053.96,78243.7,36182.69,40113.9
149813.32,81656.27,51980.34,20444.62,31040.72
2626121,1225567,914474,851550,23684
114003.27,2137.42,68242.12,20546.42,47643.48
1254201.12,689710.71,282357.34,102844.25,178368.65
159412.07,74533.49,61965.18,54501.62,7350.47
423839.41,261367.48,109148.95,86740.85,17223.1
3489057.04,186562.39,1048425.58,887121.16,161276.62
462412.85,7918.05,80307.58,22061.56,55252.69
287195.89,160686.42,87938.44,56308.21,31630.23
1208035.4,555816.37,415160.56,330740.57,81893.32
119743.9,47857.66,37856.96,27652.92,8201.54
2057899.39,896361.8,585212.29,503163.84,55896.78
274560.95,81352.87,93775.17,91738.58,2026.59
285128.95,89984.49,105947.27,102188.75,3730.86
404548.13,122866.5,55460.24,49298.88,868.99
444013.66,174486.03,110648.22,101946.55,6750.08
620908.22,173434.03,86116.23,82363.32,407.28
310343.81,139889.99,110832.24,74082.72,35393.69
6526488.94,3540683.7,1921343.33,1496503.74,401617.34
4992701.64,1897606.32,1895585.8,834407.94,1059745.36
197546.49,109797.39,72282.3,61599.32,10532.93
63453.06,2063.37,24963.1,21108.83,3854.27
35634913.01,11943914.54,11632752.41,8404955.25,3122650.26
6311280.51,2072496.16,2157590.99,916284.35,1234707.82
841019.69,466853.14,289899.22,128328.66,161570.56
168190.37,13533.32,79244.89,23485.14,55219.75
1616898.5,807933.71,571546.84,477107.45,75376.35
283265.66,11150.75,62110.22,60822.76,386.35
130566.55,37508.86,62442.56,42692.52,19050.04
7508650.27,480603.9,1611198.54,1275859.94,329682.23
2533937.56,1387712.4,624154.93,474701.92,149437.52
460708.82,192219.39,128690.3,121675.53,4729.22
102537.95,25067.66,46365.32,22425.95,23850.96
880266.52,436282.38,255847.5,99686.92,155870.58
5579.38,2291.03,433,49.96,383.04
11586.41,6527.12,923.3,923.3,0
6986.04,19.93,6477.42,6387.39,90.03
5016.96,33.04,4814,4814,0
2948.39,389.52,460,460,0
27490.93,614.02,350,350,0
13070.44,251.86,3514.5,1373.33,2141.17
10647.39,6628.99,3639.99,3636.66,3.33
45514.57,19911.52,16654.26,4177.16,12477.1
1991.44,1015.15,160,160,0
87348.95,3971.27,19909.18,4387.73,15521.45
3063.7,44.66,2744.67,2744.67,0
10800.6,6511.05,4188.16,4188.16,0
4169.57,110.38,3214.12,820,2394.12
5606.22,1979.71,509.14,408.49,100.65
41636.8,17780.38,8466.32,8466.32,0
